jatekos_dx,jatekos_dy,kimenet
-18.75220957263037,-57.02740363033188,0
-36.5689280450183,-18.733637463674413,2
-35.31578995511137,9.195669159557404,2
-16.365649486792236,-19.875018989078363,0
8.474755939699339,-3.230440424319468,3
-27.934970218391484,-47.86171089417017,0
-51.75510839288492,47.25547104626,2
6.308776624168878,29.046887520188285,1
-60.55489890154672,55.93886907956943,2
55.30850665584569,-79.09428008836493,0
10.825384191778056,18.987880263955475,1
-74.48310171719116,31.733026901171716,2
33.551005201900075,84.83433264242223,1
53.78178824490281,-57.895775819983015,0
79.36156463824867,-24.895122340028664,3
61.36318369473277,-3.365784659732995,3
62.81883318222296,2.5634062382684775,3
0.4154185816294813,42.44521940128914,1
90.95270835741772,-57.137590688613344,3
-13.660159083052974,58.820825099474696,1
-34.54928685875664,-60.1898572565902,0
8.593776633569512,49.77030273586666,1
-78.60731197815426,80.7478963510009,1
-3.551083304703006,-20.08075162624057,0
-54.46394453854393,-33.79224253658843,2
-8.91890547324996,-13.439806568958325,0
-11.096364978216478,49.09323021163779,1
49.55831988976242,-35.84698245018619,3
44.92595055684918,66.5876141796902,1
65.35693770619825,31.58673185905154,3
-29.109181158064736,-2.544427435721026,2
18.534010547067435,-18.237063042659052,3
-98.10319318483204,31.227398090352956,2
-12.970204550026114,15.05629947831121,1
50.99564985655215,-87.1007149976913,0
9.679081358233788,5.035057329188973,3
27.84212035858942,-81.6238143862002,0
2.6129892147455287,44.77187104043764,1
-63.09370382032946,-47.72018531611441,2
-48.681008930636736,-38.2270116740642,2
28.62105006481834,-59.78116275580646,0
-6.122600107192042,29.642957949318003,1
23.323770348666734,-40.05242060873134,0
9.637113685228456,2.996860998590691,3
37.03370570129986,-11.624605688166582,3
86.54597289900049,-8.11714596881459,3
-7.7708559536752375,-4.758425808198034,2
32.32502722126045,0.31497660580910747,3
-37.789805407248934,-32.281663377415256,2
-85.1906577865389,-19.308498757917278,2
7.78369007625642,-65.39412054269408,0
-47.0079726104516,36.41322728127549,2
-76.54054881103922,-21.555363014520978,2
46.70415752656137,-37.23470992912998,3
-41.62988760987665,78.80295039894483,1
0.32959560342234084,-15.067561502657718,0
-11.448915854463792,-16.66398727130698,0
-54.37557071550541,-4.524001762339182,2
7.51147745594708,-20.995455485018304,0
-17.53528351006959,45.28230989899655,1
26.01805921319655,-36.00604892751309,0
2.7285543715776654,-40.52957670333808,0
-23.124668966558367,-0.7154763828792099,2
0.317247607757551,-23.2434896389142,0
30.39669527066767,-66.00851919019374,0
14.344374655021266,-22.906736796313325,0
23.378709330755633,28.97758489694081,1
6.497356583665791,-36.566929484907206,0
4.585741373390668,10.944445520685964,1
-6.129373965948638,24.571627966223062,1
-46.63616967226928,11.18843695118818,2
-63.65662367495768,59.165588840789965,2
-18.66161917413889,-50.421394814218026,0
-24.54027974536615,-3.1055669125302785,2
-57.37117067990089,91.80293768169307,1
13.04975913984164,59.51897086252991,1
-43.382739512545136,-41.31654368612248,2
20.10861198808718,3.852132231905607,3
22.72304874737613,-12.46701864855197,3
-21.265230704163137,75.85844390721901,1
-22.743641011322765,-39.30062054432759,0
73.44058728968668,44.35254129734487,3
-10.749977948820082,-43.9892279718869,0
33.21102879914716,-0.8184658209307614,3
6.11115036829154,1.1787106568761274,3
-19.372457357943116,-16.59418506830589,2
-5.703359563712738,16.903052031954616,1
57.24642362834987,-46.191115911009184,3
-14.273701577107772,23.308884057346724,1
-92.35215451881511,-37.60984380895939,2
-37.353406752060216,86.92926608928099,1
-27.97304119056664,8.081933328151436,2
-12.27006731999294,11.01085056789563,2
-49.7892025507621,-11.606368852674564,2
-72.90572529616016,-33.59576537989797,2
89.22617674785221,22.34081116350408,3
-16.62621313883146,-0.5596679987562752,2
-81.68075854822239,-34.487623716348764,2
65.6794196473925,14.164273575903351,3
-88.08577078187756,62.36419348813335,2
10.811994252820313,11.205720549744075,1
-38.74465502506447,-68.8237153351796,0
-17.931816511474587,-87.12561288976806,0
